query,gold_intent,rank,historical_customer,historical_support,similarity,intent_compatibility,combined_score
<USER> Thank you so much. I really appreciated a such beautiful playlist. It was so fantastic and kind from you all. Have a nice week 👌👍,OTHER,2,"@spotifycares why is this album on spotify if it's not playable? it would be super if was available, this is #2ne1 playlist would be complete if it had all the songs from their first mini album https://t.co/ndn2hbtdfl @spotifycares i doubt it :/ but thank you for replying!","@116384 hey there! sometimes content gets temporarily removed because of licensing changes. hopefully we'll have them available again soon /mt @116384 you're welcome. not to worry, we'll pass on your feedback to the right team. if you ever need us again, just say the word. we're always here for you /mt",0.20913960962050496,0.0,0.15685470721537872
<USER> Thank you so much. I really appreciated a such beautiful playlist. It was so fantastic and kind from you all. Have a nice week 👌👍,OTHER,3,@spotifycares all of my songs disappeared from my songs. they're still in the playlist but i'm not able to view them. https://t.co/lp9ihtod1m @spotifycares they're back now. i was on my phone's 4g earlier. i don't know what happened but when i connected to my wifi it returned. thank you though.,"@116890 hey, help's here! can you try logging in on another device or the web player (https://t.co/at5o0wcn4v)? are you seeing your songs? /jp @116890 2: with anything else. https://t.co/m4hwsbghvz 🙂 /lo",0.2043423694849346,0.0,0.15325677711370095
<USER> Yes it exibits the same behavior on a second PC running Windows 10 with two monitors @ 1080p. Mine is three @ 1440p. Second computer's version is 1.0.67.582.g19436fa3,APP_TECHNICAL,1,"@spotifycares @115890 groove music quits &amp; redirect to spotify. but the w10m app is a bugfest.. any further updates possible? @spotifycares 2/2... and there is no way to manage albums (recently added e.g.) in the app. it's a mess 😲 https://t.co/rlwuqllt8s @spotifycares yes, multiple times. no changes. i am premium user an when @115890 send us users to spotify there should be a bugfree running app 🤨","@115889 hey there! that doesn't sound good. what's happening exactly? can you let us know the app version you're using? /pb @115889 got it. it's not possible at the moment, but we'll pass on the the suggestion. could you try reinstalling the app? /pb @115889 sorry to hear that. the spotify app on windows phone is currently in maintenance mode. more info here: https://t.co/ksq4qse4de /rs",0.15796078958030935,0.25,0.180970592185232
<USER> Yes it exibits the same behavior on a second PC running Windows 10 with two monitors @ 1080p. Mine is three @ 1440p. Second computer's version is 1.0.67.582.g19436fa3,APP_TECHNICAL,2,@spotifycares @115890 groove music quits &amp; redirect to spotify. but the w10m app is a bugfest.. any further updates possible? @spotifycares 2/2... and there is no way to manage albums (recently added e.g.) in the app. it's a mess 😲 https://t.co/rlwuqllt8s,"@115889 hey there! that doesn't sound good. what's happening exactly? can you let us know the app version you're using? /pb @115889 got it. it's not possible at the moment, but we'll pass on the the suggestion. could you try reinstalling the app? /pb",0.09824679633980075,0.25,0.13618509725485056
<USER> Yes it exibits the same behavior on a second PC running Windows 10 with two monitors @ 1080p. Mine is three @ 1440p. Second computer's version is 1.0.67.582.g19436fa3,APP_TECHNICAL,3,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates! @spotifycares i tried it on web browser and it worked! 😊 @spotifycares desktop app still not working, but i got to see the cool thing (easter egg) so i’m ecstatic! 😊😊","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb @116128 hmm, let's see. could you confirm the exact spotify version of your desktop app? /kb",0.09637704180816262,0.25,0.13478278135612196
"<USER> I'm using a 2017 Samsung A5, running Android 7.0, with Spotify 8.4.23.784 armV7",APP_TECHNICAL,1,@spotifycares not sure why the app has been slow to load and glitching music for the past couple months. samsung galaxy s5 @spotifycares android 6.0.1 and spotify version 8.4.25.771 armv7,@117527 hey there! can you let us know what android and spotify versions you're running? we'll see what we can suggest /ns @117527 thanks for that! can you dm us your account's email address and username? we'll take a look backstage /kl https://t.co/ldfdzrinat,0.2774752196450377,0.125,0.23935641473377828
"<USER> I'm using a 2017 Samsung A5, running Android 7.0, with Spotify 8.4.23.784 armV7",APP_TECHNICAL,2,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates! @spotifycares i tried it on web browser and it worked! 😊 @spotifycares desktop app still not working, but i got to see the cool thing (easter egg) so i’m ecstatic! 😊😊","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb @116128 hmm, let's see. could you confirm the exact spotify version of your desktop app? /kb",0.14382575932548342,0.25,0.17036931949411255
"<USER> I'm using a 2017 Samsung A5, running Android 7.0, with Spotify 8.4.23.784 armV7",APP_TECHNICAL,3,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates! @spotifycares i tried it on web browser and it worked! 😊 @spotifycares desktop app still not working, but i got to see the cool thing (easter egg) so i’m ecstatic! 😊😊 @spotifycares 1.0.65.320.gac7a8e02","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb @116128 hmm, let's see. could you confirm the exact spotify version of your desktop app? /kb @116128 thanks! it's not ideal, but a clean reinstall of the app should help out: https://t.co/eqisdmwzat. let us know how it plays out /kb",0.1354473541869732,0.25,0.1640855156402299
"<USER> thanks, but the vote button says ""sorry you can't like this post"" ? and it's under consideration since 10 months back?",FEATURE_REQUEST,1,"spotify really needs a feature to add songs to multiple playlists at once. @spotifycares @spotifycares i've dragged so many songs to the same playlists over + over. one of the aims of technology is to make everyday tasks easier, right? =] @spotifycares thanks! @spotifycares hi. my @115888 playlists idea's status got changed + can't receive any votes. they sent me a link to a ""similar idea"", but it's closed. @spotifycares thanks. here's the link: https://t.co/luc4fidrim @spotifycares what keywords besides ""playlist"", ""playlists"", + ""song"" would i use? @spotifycares i feel like my idea has similar keywords as the one i was told to go to – that's closed and can no longer be voted on.","@116393 hey daniel this sounds like a great idea! suggest it in our community at https://t.co/rtdvyzof32 and get support from other users /bh @116393 you're welcome! if anything else comes up, we're just one tweet away. have a https://t.co/cpbdpiav92 🙂 /bh @116393 hi daniel! can you send us the link to the idea you posted? we'll take a look at what happened 🙂 /nh @116393 2: resending your ideas and using keywords that will help your idea easier to find /rb @116393 we suggest using keywords similar to those used in the suggested idea. if you need anything else, give us a shout /rb @116393 we hear you. rest assured, your feedback will be passed on to the right folks /rb",0.12550716071750057,0.2857142857142857,0.16555894196669685
"<USER> thanks, but the vote button says ""sorry you can't like this post"" ? and it's under consideration since 10 months back?",FEATURE_REQUEST,2,"@spotifycares i've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" i do not want this to boot up at startup. what gives? https://t.co/vx8vy4l0st @spotifycares thanks for the quick reply! i got it to work after un/reinstalling a few times, but i’m on macos high sierra. looks like version 1.0.68.407.g6864aaaf? i’m not sure what the initial problem was, but again, it’s working now.","@116379 hey dylan! can you let us know which versions of spotify and windows you're running? we'll see what we can suggest /ra @116379 awesome! if you ever need anything else, just shout and we'll come running 🏃 /df",0.1665279062243894,0.14285714285714285,0.16061021538257775
"<USER> thanks, but the vote button says ""sorry you can't like this post"" ? and it's under consideration since 10 months back?",FEATURE_REQUEST,3,@spotifycares @115890 groove music quits &amp; redirect to spotify. but the w10m app is a bugfest.. any further updates possible? @spotifycares 2/2... and there is no way to manage albums (recently added e.g.) in the app. it's a mess 😲 https://t.co/rlwuqllt8s,"@115889 hey there! that doesn't sound good. what's happening exactly? can you let us know the app version you're using? /pb @115889 got it. it's not possible at the moment, but we'll pass on the the suggestion. could you try reinstalling the app? /pb",0.1564341364279524,0.14285714285714285,0.15303988803525
<USER> Sent you guys a DM.,OTHER,1,"@115888 you guys trying to make it harder to load local music? ""browse for music"" show me the song i added instead. don't bs users.",@117528 hey there! can you let us know what's happening exactly? we'd love to lend a hand /kc,0.3283714238552847,0.0,0.24627856789146355
<USER> Sent you guys a DM.,OTHER,2,"hey @spotifycares did you take ""you shook me all night long"" off spotify just to piss me off? why remove the greatest song ever made? @spotifycares ac/dc.... @spotifycares well done, guys. 👍🏼 https://t.co/s9hz9eqjex","@116394 hey dustin, we're sorry to hear that! can you let us know the name of the artist of that track? we'll check it out /ns @116394 thanks. sometimes content gets temporarily removed because of licensing changes. hopefully we'll have it available again soon! /ns @116394 sorry about that. we’d love to have all of their stuff available, but we have some info about content here: https://t.co/mejmirl2eb /jq",0.19345691059160228,0.0,0.1450926829437017
<USER> Sent you guys a DM.,OTHER,3,@spotifycares https://t.co/rlvnj5ifow - you having a party without me?,"@116376 hey tom! not to worry, we're more than happy to bring the party to your place. would you mind sending this invite out to everyone you know? https://t.co/lwycwf8wkc 🎉 /tb",0.1253753381937577,0.0,0.09403150364531829
"<USER> okay cool, thank you!",OTHER,1,@115888 the app is killing #phone #battery fixing this problem? how is this okay. i guess you are getting the money without any complaints,"@116387 hey! what device, operating system, and spotify version are you using? we'll see what we can suggest /cb",0.23385544939206657,0.0,0.17539158704404992
"<USER> okay cool, thank you!",OTHER,2,"https://t.co/obioirq3iu are you feeling something good?🤔 well👏🏽 so👏🏽 am👏🏽 i👏🏽 but i hate my voice, so oh well. 😂 check it. #newmusic ✌🏽❄️ @spotifycares i dunno what system you use that decides which part of the song it gonna play- i love spotify, but maybe a custom clip option? @spotifycares and this is why i’ll love spotify forever and why you are my favorite music platform. thank you! 🙏🏽💯❄️","@116650 this sounds like a great idea! suggest it in our community at https://t.co/rtdvyzof32 and get support from other users /lo @116650 you're welcome! if you ever need us again, just give us a shout. https://t.co/m4hwsbghvz 🙂 /lo",0.1725162308179629,0.0,0.1293871731134722
"<USER> okay cool, thank you!",OTHER,3,@115888 the app is killing #phone #battery fixing this problem? how is this okay. i guess you are getting the money without any complaints @spotifycares spotify 8.4.24.871 android version 7.0 device: a brand new huawei mate 9 . i will look like an ass if it's a matter of just updates😊,"@116387 hey! what device, operating system, and spotify version are you using? we'll see what we can suggest /cb @116387 thanks. is it happening over 3g/4g, wifi, or both? does logging out, fully closing the app, and restarting your device help? /kc",0.17017306395223836,0.0,0.12762979796417878
<USER> Haha! Tnx!,OTHER,1,@115888 so incredibly annoying that you don't work on roku 🙄,@117458 hey maggie! we have some info about the spotify app on roku here: https://t.co/titmn0j3im. give us a shout if there's anything else /mt,0.0,0.0,0.0
<USER> Haha! Tnx!,OTHER,2,"@spotifycares add lyrics to all songs on ur app pls, apple music can do it u can too","@117452 hey! if you’re premium, you can connect your spotify account to the musixmatch mobile app to enjoy lyrics: https://t.co/scvbrh6mhl /js",0.0,0.0,0.0
<USER> Haha! Tnx!,OTHER,3,"@spotifycares the buttons on my headphones don’t pause my music anymore. is this a spotify or an ios 11 issue? @116888 @spotifycares same exact issue. sound won’t play more than 50% although i have it on full @spotifycares spotify 8.4.25.906 and ios 11 @spotifycares no just on my phone since i installed ios 11. mostly on 3g/4g. it’s very random when it decides not to work. @spotifycares nothing, same problem seems to be happening to a lot of people.","@116887 hey! the cavalry's here. could you confirm the ios and spotify version you're using? we'll see what we can suggest /kb @116887 got it. is this happening on 3g/4g, wifi, or both? do you get the same issue when you use spotify on other devices? /kb @116887 are you getting any error messages when it happens? is it happening when you're using earphones, or even without them? /pl @116887 we understand. can you check if the steps here do the trick: https://t.co/cxght0bcr8? /pl",0.0,0.0,0.0
"<USER> Yep, tried several times, didn't fix :(",APP_TECHNICAL,1,@117153 y'all charged my account 8 times ..... uhhh,@117213 hey there! could you send us a dm with your account's email address? we'll take a look backstage /fr https://t.co/ldfdzrinat,0.20689595143762057,0.0,0.15517196357821544
"<USER> Yep, tried several times, didn't fix :(",APP_TECHNICAL,2,"@spotifycares @115890 groove music quits &amp; redirect to spotify. but the w10m app is a bugfest.. any further updates possible? @spotifycares 2/2... and there is no way to manage albums (recently added e.g.) in the app. it's a mess 😲 https://t.co/rlwuqllt8s @spotifycares yes, multiple times. no changes. i am premium user an when @115890 send us users to spotify there should be a bugfree running app 🤨","@115889 hey there! that doesn't sound good. what's happening exactly? can you let us know the app version you're using? /pb @115889 got it. it's not possible at the moment, but we'll pass on the the suggestion. could you try reinstalling the app? /pb @115889 sorry to hear that. the spotify app on windows phone is currently in maintenance mode. more info here: https://t.co/ksq4qse4de /rs",0.07297545914758015,0.25,0.11723159436068512
"<USER> Yep, tried several times, didn't fix :(",APP_TECHNICAL,3,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates! @spotifycares i tried it on web browser and it worked! 😊 @spotifycares desktop app still not working, but i got to see the cool thing (easter egg) so i’m ecstatic! 😊😊","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb @116128 hmm, let's see. could you confirm the exact spotify version of your desktop app? /kb",0.038138006911787016,0.25,0.09110350518384026
"<USER> nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",CONTENT_AVAILABILITY,1,"so @115888 @3493 @spotifycares: three days later you’re still advertising a sale to me for which i’m geographically ineligible, this time on facebook. you know you can choose where you want your ads to display on fb, don’t you? https://t.co/ahez1etc57","@116375 hey there! just to clarify, which part of canada are currently living in? /mt",0.3156296529411607,0.0,0.23672223970587053
"<USER> nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",CONTENT_AVAILABILITY,2,"so @115888 @3493 @spotifycares: three days later you’re still advertising a sale to me for which i’m geographically ineligible, this time on facebook. you know you can choose where you want your ads to display on fb, don’t you? https://t.co/ahez1etc57 @spotifycares montreal, where the ad itself says i’m not allowed to get the deal. we had another tweet exchange a few days ago when you emailed me the same offer.","@116375 hey there! just to clarify, which part of canada are currently living in? /mt @116375 sorry about that. you shouldn’t have received an email/notification if you’re not eligible. can you dm us your account's email address or username? /nq https://t.co/ldfdzrinat",0.2681618765702818,0.0,0.20112140742771134
"<USER> nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",CONTENT_AVAILABILITY,3,"excuse me @115888 i have ✌🏽 songs that i never made available commercially, available on your service 🤔 who do i contact","@117212 2: mobile, can you send us the song link instead? just tap the three dots &gt; share &gt; copy link. we look forward to your reply /ju",0.25778025582721187,0.0,0.1933351918704089
<USER> Ive sorted it now but thank you anyway,OTHER,1,"https://t.co/obioirq3iu are you feeling something good?🤔 well👏🏽 so👏🏽 am👏🏽 i👏🏽 but i hate my voice, so oh well. 😂 check it. #newmusic ✌🏽❄️ @spotifycares i dunno what system you use that decides which part of the song it gonna play- i love spotify, but maybe a custom clip option? @spotifycares and this is why i’ll love spotify forever and why you are my favorite music platform. thank you! 🙏🏽💯❄️","@116650 this sounds like a great idea! suggest it in our community at https://t.co/rtdvyzof32 and get support from other users /lo @116650 you're welcome! if you ever need us again, just give us a shout. https://t.co/m4hwsbghvz 🙂 /lo",0.2647972183186994,0.0,0.19859791373902455
<USER> Ive sorted it now but thank you anyway,OTHER,2,@spotifycares all of my songs disappeared from my songs. they're still in the playlist but i'm not able to view them. https://t.co/lp9ihtod1m @spotifycares they're back now. i was on my phone's 4g earlier. i don't know what happened but when i connected to my wifi it returned. thank you though.,"@116890 hey, help's here! can you try logging in on another device or the web player (https://t.co/at5o0wcn4v)? are you seeing your songs? /jp @116890 2: with anything else. https://t.co/m4hwsbghvz 🙂 /lo",0.2604669625602643,0.0,0.19535022192019824
<USER> Ive sorted it now but thank you anyway,OTHER,3,"@spotifycares it'd be helpful if it showed the song greyed out as it's not on the phone yet, and simply gave me the option to offline/download the song. @spotifycares checked the three dots and saw the download option and then my song appeared. it works.. but it feels hidden. thank you for your interest :)",@117528 you're welcome! we can see how that’d be handy. thanks for taking the time to reach out – your feedback's been noted 📝 /kc,0.20403946587117486,0.0,0.15302959940338115
"<USER> Unfortunately, I'm still on the waiting list🙂 Were is the problem? We are EU country.",CONTENT_AVAILABILITY,1,@115888 the app is killing #phone #battery fixing this problem? how is this okay. i guess you are getting the money without any complaints,"@116387 hey! what device, operating system, and spotify version are you using? we'll see what we can suggest /cb",0.27113825957613363,0.0,0.20335369468210024
"<USER> Unfortunately, I'm still on the waiting list🙂 Were is the problem? We are EU country.",CONTENT_AVAILABILITY,2,"@116885 @spotifycares brilliant, please keep me updated? much appreciate it. still hoping they will bring it back in full on the next update @116886 @spotifycares the truth is, although spotify cares, they've obviously already found the feature to not be useful to the masses. we are outliers. 😓","@116885 we're sorry if you feel that way. in any case, we appreciate your feedback on this. feel free to tweet us if there's anything else /gk",0.2693251169851729,0.0,0.2019938377388797
"<USER> Unfortunately, I'm still on the waiting list🙂 Were is the problem? We are EU country.",CONTENT_AVAILABILITY,3,"@116130 why are nena's releases between 2002 and 2012 all missing, yet everything else from 1982 - 2017 is there? #sadness #emptyplaylist @spotifycares made in germany, du bist gut, cover me and 20 jahre (this one mostly). because these are missing, a few compilations have greyed out tracks","@116129 hi liam! could you let us know the tracks/albums you're looking for? we'll take a look /rh @116129 2: spotify content here: https://t.co/0i8gpimuda. if you have anything else in mind, we're just a tweet away /rh",0.14629161314785297,0.2857142857142857,0.18114728128946114
"<USER> 8.4.20.535, ios11.0.1 Is there an update coming for spotify to support ios11 properly?",DEVICE_PLATFORM,1,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates!","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb",0.17457452828420061,0.5,0.25593089621315046
"<USER> 8.4.20.535, ios11.0.1 Is there an update coming for spotify to support ios11 properly?",DEVICE_PLATFORM,2,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates! @spotifycares i tried it on web browser and it worked! 😊 @spotifycares desktop app still not working, but i got to see the cool thing (easter egg) so i’m ecstatic! 😊😊","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb @116128 hmm, let's see. could you confirm the exact spotify version of your desktop app? /kb",0.15323881422100602,0.5,0.2399291106657545
"<USER> 8.4.20.535, ios11.0.1 Is there an update coming for spotify to support ios11 properly?",DEVICE_PLATFORM,3,"why are my devices not doing the cool thing when i play the #strangerthings albums on @115888? 😭 @spotifycares using a macbook pro with os x el capitan and the latest spotify update, and an iphone 6s with the latest software/spotify updates! @spotifycares i tried it on web browser and it worked! 😊 @spotifycares desktop app still not working, but i got to see the cool thing (easter egg) so i’m ecstatic! 😊😊 @spotifycares 1.0.65.320.gac7a8e02","@116128 hey jacklynn! the cavalry's here. could you tell us the device/os you're using? we'll see what we can suggest /kb @116128 got it! could you try streaming one of our 15 stranger things playlists, then switch to the now playing screen? /kb @116128 hmm, let's see. could you confirm the exact spotify version of your desktop app? /kb @116128 thanks! it's not ideal, but a clean reinstall of the app should help out: https://t.co/eqisdmwzat. let us know how it plays out /kb",0.1443120623337938,0.5,0.23323404675034534
<USER> Failed again,APP_TECHNICAL,1,@117168 when i watch an ad video and you say 30 mins ad free. i expect 30 mins ad free. not 10 mins. https://t.co/1hmnwvarmm @spotifycares yes i did. the dude even said thanks for watching now enjoy your 30 mins of ad free music. @spotifycares ok! thanks. i will let you know if it happens again. thanks for every thing! https://t.co/wwh8aktjuk,"@117167 hey terry, that doesn't sound good! did the app crash at any point during the 30 minutes? that can cause the ad-free time to reset /ra @117167 hmm, that's odd. we'll get this passed on to our devs so they can look into it. give us a shout if you need anything else /ra @117167 you're welcome! if you ever need us again, just give us a... https://t.co/auc7dgjpgf 🙂 /ar",0.15321805729592666,0.125,0.146163542971945
<USER> Failed again,APP_TECHNICAL,2,"all clear! everything’s looking good again. enjoy the tunes. @117153 i can't seem to get in due to the card or payment provider, yet i checked my card and it is 100% fine. can you please fix this?","@117441 hi there! can you dm us your account's email address or username, and a screenshot of the error message? we'll take a look backstage /nq https://t.co/ldfdzrinat",0.1882153167497371,0.0,0.14116148756230282
<USER> Failed again,APP_TECHNICAL,3,"@spotifycares i've been trying to select ""no"" for this option multiple times but every time after closing the settings, it goes right back to ""minimized."" i do not want this to boot up at startup. what gives? https://t.co/vx8vy4l0st @spotifycares thanks for the quick reply! i got it to work after un/reinstalling a few times, but i’m on macos high sierra. looks like version 1.0.68.407.g6864aaaf? i’m not sure what the initial problem was, but again, it’s working now.","@116379 hey dylan! can you let us know which versions of spotify and windows you're running? we'll see what we can suggest /ra @116379 awesome! if you ever need anything else, just shout and we'll come running 🏃 /df",0.13631164935205373,0.0,0.10223373701404029
<USER> Also where is the boy band project music? Where can i listen to find that girl by them? <URL>,CONTENT_AVAILABILITY,1,is there a way to find non-explicit songs that are explicit @spotifycares,"@115891 hey mikey! we're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /gs",0.3205336934633684,0.0,0.2404002700975263
