example_id,query,gold_intent,predicted_intent,classifier_confidence,retrieval_similarity,gold_resolution,gold_escalation,agent_action,decision_reason,response,grounded,needs_escalation
11,"<USER> Yep, tried several times, didn't fix :(",APP_TECHNICAL,APP_TECHNICAL,0.16347109557799389,0.20689595143762057,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
12,"<USER> nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.20938770946305768,0.3156296529411607,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
13,<USER> Ive sorted it now but thank you anyway,OTHER,OTHER,0.2785071436195129,0.2647972183186994,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
14,"<USER> Unfortunately, I'm still on the waiting list🙂 Were is the problem? We are EU country.",CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.2250545251748892,0.27113825957613363,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
15,"<USER> 8.4.20.535, ios11.0.1 Is there an update coming for spotify to support ios11 properly?",DEVICE_PLATFORM,DEVICE_PLATFORM,0.3472214129487208,0.17457452828420061,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
16,<USER> Failed again,APP_TECHNICAL,APP_TECHNICAL,0.1870326827578834,0.15321805729592666,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
17,<USER> Also where is the boy band project music? Where can i listen to find that girl by them? <URL>,CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.26235209467320225,0.3205336934633684,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
18,<USER> It works now however when I tried again (the working time) it pushed several empty “Log In” titled pages and I had to press “Back” several times to get to the two buttons again so I could press Log In again and then it worked.,ACCOUNT_LOGIN,ACCOUNT_LOGIN,0.4242121230276562,0.2264795649379527,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
19,<USER> personal - the vamps,CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.18704299581657818,0.1989302040368396,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
20,"<USER> actually, which link?",OTHER,OTHER,0.1915665821660215,0.23804150458396692,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
21,<USER> How long is this going to take,OTHER,OTHER,0.14629030863383627,0.2610692856194215,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
22,<USER> I have just got it! ❤️,OTHER,OTHER,0.17269794307990988,0.14412497376463174,RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
23,<USER> <USER> help me,CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.16681962336594314,0.20840483829363934,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
24,<USER> No pending updates.,APP_TECHNICAL,PLAYLIST_LIBRARY,0.19030476514302888,0.1430503205186385,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
25,<USER> It was on the messenger,OTHER,APP_TECHNICAL,0.14106656834665332,0.24948263637781115,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
26,"<USER> Yep all good, thank you",OTHER,OTHER,0.33168988650039494,0.22016600531193747,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
27,<USER> Just tried that and still having the issue this morning,APP_TECHNICAL,APP_TECHNICAL,0.19140493884301976,0.2133300313475454,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
28,<USER> seems to have Worked. I have only tried to delete data and Cache. Reinstalling seemed to the Trick.,APP_TECHNICAL,APP_TECHNICAL,0.20950561829335138,0.14465581784249254,RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
29,"<USER> This is totally unacceptable for a company as big as Spotify with a great product team like yours, move on.",OTHER,OTHER,0.14903524707220317,0.2749958915181833,UNCLEAR,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
30,<USER> Well lookie here! It works! <URL>,OTHER,OTHER,0.16009304699258903,0.2074798583830602,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
31,<USER> reveal your identity 😫❤️,OTHER,FEATURE_REQUEST,0.1593400562499566,0.24573487453096993,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
32,<USER> i mean sometimes Spotify doesn’t update the song streams at the same time it usually does so i was worried something was happening,APP_TECHNICAL,APP_TECHNICAL,0.18574881029120685,0.24526240011885234,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
33,"<USER> That works. I just miss the functionality to select ""shuffle"" when first opening a playlist, the way it used to be.",FEATURE_REQUEST,FEATURE_REQUEST,0.22177378527651292,0.2877980292156282,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
34,<USER> I'm talking about the Spotify+Hulu package,SUBSCRIPTION_PREMIUM,SUBSCRIPTION_PREMIUM,0.3600261654883589,0.14785711905550328,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
35,"<USER> A restart seems to have fixed the black screen issue. However it still switches to offline mode between sessions (on both wifi and data,).",APP_TECHNICAL,APP_TECHNICAL,0.18438798155393893,0.18285880401648297,PARTIALLY_RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
36,<USER> Thank you! a DM has been sent! I hope you can help.,OTHER,OTHER,0.32961847779424824,0.2477910993244296,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
37,"<USER> Travelin' Soldier/Dixie Chicks, Longhaired Redneck, Would You Lay With Me (In a Field of Stone), & If That Ain't Country/David Allen Coe",OTHER,FEATURE_REQUEST,0.13844054626705452,0.40499466967130743,UNCLEAR,,ANSWER,A sufficiently similar historical case was found.,hey there! can you let us know which device and operating system you're using? we'll see what we can suggest /nq,True,False
38,"<USER> A magic Spotify-fairie made it suddenly work again! Thanks for your efforts though. Let’s listen together, cheers :) <URL>",APP_TECHNICAL,FEATURE_REQUEST,0.14817606669757655,0.3499874949301198,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
39,<USER> Awesome! Thanks!,OTHER,OTHER,0.22637285530085924,0.24798046871925974,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
40,"<USER> I’m using windows 10 on a Lenovo laptop—again, some music is working, some isn’t. one band that isn’t is Maroon 5–singles specifically.",CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.2132728744958711,0.28792550893624136,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
41,<USER> iPhone. Keeps saying someone else is using it but I changed my password and logged every device out,ACCOUNT_SECURITY,ACCOUNT_SECURITY,0.6564562372600204,0.34272535260196474,UNRESOLVED,,ESCALATE,Account security issues require additional verification or human handling.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
42,<USER> Nope it happens quite often!,APP_TECHNICAL,APP_TECHNICAL,0.16565020441248135,0.08577497099534567,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
43,"<USER> It didn’t work. It’s been removed from my local files for quite some time. The song is already on Spotify, I no longer need the local file.",PLAYLIST_LIBRARY,PLAYLIST_LIBRARY,0.32704752563127587,0.13980726769179197,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
44,<USER> And I'm on Spotify Version 8.4.28,APP_TECHNICAL,APP_TECHNICAL,0.18677565590243742,0.2433857535758039,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
45,"<USER> iPhone 5S, iOS version 11.0.1, latest Spotify apps.",DEVICE_PLATFORM,DEVICE_PLATFORM,0.3981147743062641,0.20867972544600627,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
46,"<USER> No, the app simply cant find the roku app, 2 diffrent rokus 2 diffrent networks. This is all it does. <URL>",DEVICE_PLATFORM,DEVICE_PLATFORM,0.40732427651391956,0.25459797551537516,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
47,<USER> Legit it's the only reason why I think people use pandora instead of Spotify. Waking up to your favorite song would be amazing. There's a lot of opportunity here if you do it correctly.,FEATURE_REQUEST,FEATURE_REQUEST,0.296264243974811,0.20559579039482492,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
48,<USER> It's ok.. I'm planning to renew my premium a few month from now,SUBSCRIPTION_PREMIUM,SUBSCRIPTION_PREMIUM,0.40361440788927777,0.22336103799914608,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
49,"<USER> Just mentioned that your service wanted me to input my credit card information after couple of months having student discount, no discount.",SUBSCRIPTION_PREMIUM,SUBSCRIPTION_PREMIUM,0.3709463505039432,0.3952630567395363,UNRESOLVED,,ANSWER,A sufficiently similar historical case was found.,hey! the cavalry's here. can you dm us your account's username or email address? we'll take a look under the hood /js,True,False
50,"<USER> And yet again, on iPhone 7 those same tracks will just not play",PLAYBACK,PLAYBACK,0.2392611882457274,0.1631671460239854,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
51,<USER> That trio of lines has worn pretty thin now!😩This really needs to be a priority when #Roku users must pay for premium to even use the app!🤨😒,SUBSCRIPTION_PREMIUM,SUBSCRIPTION_PREMIUM,0.4822957508720896,0.25521213511236435,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
52,<USER> What do you mean pricing varies by payment mode? Can I avail the 9 pesos for 3 months using BDO Debit Card or Gcash Mastercard?,BILLING_PAYMENT,BILLING_PAYMENT,0.43352312329522297,0.2924894752179512,RESOLVED,,ESCALATE,Billing/payment issues may require account-specific investigation.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
53,<USER> Turns out it's my crappy <USER> headphones causing the problem. Nevermind!,PLAYBACK,PLAYBACK,0.22152353404286748,0.14774807492627126,RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
54,"<USER> i can't search for artists, I can't play songs and everything takes AGES to load and whatever I'm trying to do doesn't work",APP_TECHNICAL,APP_TECHNICAL,0.13810899486645983,0.30798500340743074,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
55,<USER> I am waiting my sister for sending her mail account.,OTHER,ACCOUNT_LOGIN,0.17177878422461523,0.3676128771368723,RESOLVED,,ANSWER,A sufficiently similar historical case was found.,hey there! could you send us a dm with your account's email address? we'll take a look backstage /fr,True,False
56,"<USER> I did, please bring this feature back! 😢 it was the most helpful tool for discovering new music",FEATURE_REQUEST,FEATURE_REQUEST,0.22608046495092696,0.28219652871056633,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
57,<USER> I've tried the reinstall but the same error appears. This is quite frustrating as I have a premium subscription which I cannot use.,APP_TECHNICAL,APP_TECHNICAL,0.16031715055556806,0.22178293178561953,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
58,<USER> I have not received a response,OTHER,OTHER,0.17619696239371893,0.22700239739585215,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
59,"<USER> Occasionally it works but if I ""next"" the song the album stops",PLAYBACK,PLAYBACK,0.23820811734332728,0.3881310498978191,UNRESOLVED,,ANSWER,A sufficiently similar historical case was found.,you're welcome! we can see how that’d be handy. thanks for taking the time to reach out – your feedback's been noted 📝 /kc,True,False
60,<USER> It’s a MacBook Pro - I click the song but it plays a different one,PLAYBACK,PLAYBACK,0.2600258251243808,0.23641525374846584,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
61,<USER> iPhone 7! I am holding off on their latest software update though. 😜,DEVICE_PLATFORM,DEVICE_PLATFORM,0.44473523434324735,0.28154239977391693,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
62,"<USER> After I log in, I get the first screen. Your support page (second image) tells me to change the settings in Chrome to...(1/2) <URL>",APP_TECHNICAL,ACCOUNT_LOGIN,0.16146456375933527,0.22091138075137384,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
63,<USER> 2015 MacBook Pro running macOS 10.12.6. Spotify version 1.0.65.320.gac7a8e02. It also happens on the web player in chrome and,APP_TECHNICAL,APP_TECHNICAL,0.23250828679739316,0.3202250945425176,UNCLEAR,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
64,<USER> It just stopped playing music and If I started playing music.. It wouldn't even play! Well now it fixed itself and I'm happy,PLAYBACK,PLAYBACK,0.24247570631576496,0.2299975128210872,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
65,<USER> I’ve dm’d you,OTHER,OTHER,0.21988383662670447,0.14393514445587827,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
66,"<USER> iPhone 7+, iOS 11.1, I️ just updated Spotify yesterday",APP_TECHNICAL,APP_TECHNICAL,0.16907458147243246,0.324324080073173,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
67,"<USER> I know, I just like to bother you guys everyday. I hope y’all are having a good day.",OTHER,OTHER,0.23341895124872358,0.3234805802433737,UNCLEAR,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
68,<USER> It now seems to be working fine. Always the way....!,OTHER,OTHER,0.1478820102046433,0.160917744807067,RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
69,<USER> ...and I could listen it. So this started happening this week in all my devices.,PLAYBACK,PLAYBACK,0.21374951630566666,0.10914513069878576,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
70,<USER> Should’ve indicated that during the paymet process to avoid confusion.,BILLING_PAYMENT,BILLING_PAYMENT,0.40488993359707104,0.26080501238756726,INFORMATION_ONLY,,ESCALATE,Billing/payment issues may require account-specific investigation.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
71,<USER> Update: it’s now up on Spotify but there’s no content <URL>,CONTENT_AVAILABILITY,CONTENT_AVAILABILITY,0.1908638081472212,0.2890880284056477,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
72,"<USER> I just want to explore the sonic cosmos, why you gotta do me like this",FEATURE_REQUEST,FEATURE_REQUEST,0.27990665738987,0.324394182989855,INFORMATION_ONLY,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
73,"<USER> It always takes about a week to get anyone to respond. Then no one ever looks at my previous screen shots, never bothers TO FIX ANYTHING",OTHER,PLAYBACK,0.1293256926404998,0.2445715244445042,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
74,<USER> That’s stupid tho. I pay y’all. Give me what i pay for,SUBSCRIPTION_PREMIUM,SUBSCRIPTION_PREMIUM,0.42663231429551984,0.354879792939291,UNRESOLVED,,ANSWER,A sufficiently similar historical case was found.,hey alex! can you dm us your account's email address or username? we'll take a look backstage /rh,True,False
75,<USER> I was listening to my music and in the middle of a song it logged me out and now I can't log back in ~ I'm not getting any error messages,ACCOUNT_LOGIN,ACCOUNT_LOGIN,0.44326103723355803,0.1438663734441701,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
76,"<USER> Nope, no difference. Pixel XL 2",DEVICE_PLATFORM,DEVICE_PLATFORM,0.39337210784299725,0.05151459900118508,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
77,"<USER> Maybe I just don't know myself... Oh god, I didn't want to find out this way!",OTHER,OTHER,0.14976464306587503,0.44987201042109026,INFORMATION_ONLY,,ANSWER,A sufficiently similar historical case was found.,"hey mikey! we're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /gs",True,False
78,"<USER> Nope, it keeps happening randomly. Spotify version 1.0.65.320.gac7a8e02",APP_TECHNICAL,APP_TECHNICAL,0.23713889136947133,0.22992792425477748,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
79,<USER> I was thank you!,OTHER,OTHER,0.3260407570973356,0.19789055291752677,RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
80,<USER> thank u~,OTHER,OTHER,0.36904454323755637,0.12180717331653539,RESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
81,<USER> Your app asked to pick a username at sign up (android).. Nowhere in the app is a place to set display name. <URL>,FEATURE_REQUEST,FEATURE_REQUEST,0.18003830456003173,0.39308792989250885,INFORMATION_ONLY,,ANSWER,A sufficiently similar historical case was found.,"hey there! that doesn't sound good. what's happening exactly? can you let us know the app version you're using? /pb got it. it's not possible at the moment, but we'll pass on the the suggestion. could you try reinstalling the app? /pb",True,False
82,<USER> none of these apply and it's a brand new phone. Playlists always stay downloaded but album downloads disappear! So very annoying!,PLAYLIST_LIBRARY,PLAYLIST_LIBRARY,0.3645573688159253,0.2027190476917404,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
83,<USER> DM sent now! Thanks.,OTHER,OTHER,0.2999907829945386,0.15849554759145357,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
84,<USER> Didn’t even have to- issue resolved: menu bar now available! Thanks again.,APP_TECHNICAL,APP_TECHNICAL,0.17630615270484692,0.23665093371903717,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
85,<USER> Spotify is the only app I usually use in the background. Switching between different apps doesn't cause any problems.,APP_TECHNICAL,APP_TECHNICAL,0.164335406139498,0.3261946447828259,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
86,"<USER> OK. Thanks. If I wanted to import my existing iTunes to Spotify, how do I do it? Done in the past ages ago but want to copy latest. File-> Import Playlists-> iTunes does nothing",PLAYLIST_LIBRARY,PLAYLIST_LIBRARY,0.3120351284157472,0.16756201893615075,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
87,"<USER> Thanks! A Moto G Play, running Android 6.0.1, Spotify v 8.4.26.770 armV7.",APP_TECHNICAL,APP_TECHNICAL,0.166962303432043,0.21978860966315564,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
88,<USER> Samsung Galaxy S4.,PLAYBACK,PLAYBACK,0.1997866225939368,0.33600748936199143,UNCLEAR,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
89,"<USER> This one here, sir. (shout out to <USER> / <USER> ) and I have a Google Pixel under Google/Android interface. <URL>",DEVICE_PLATFORM,DEVICE_PLATFORM,0.33955789197300146,0.16698961205188934,INFORMATION_ONLY,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
90,<USER> Hey. I've tried what you suggested and still the same thing is happening. It just doesn't want to go trough with transaction and I use my PayPal very often.,BILLING_PAYMENT,BILLING_PAYMENT,0.4487047518245147,0.2545806723435604,UNRESOLVED,,ESCALATE,Billing/payment issues may require account-specific investigation.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
91,<USER> It was off. I checked when I caught it downloading song 18/45. I switched it on and back off again to see if it would help. It didn't.,APP_TECHNICAL,APP_TECHNICAL,0.16118387020116573,0.3054637972272105,UNRESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
92,"<USER> I'm not really getting any error messages, it just won't let me play anything <URL>",PLAYBACK,PLAYBACK,0.2152861746536141,0.10780225239846103,UNRESOLVED,,ESCALATE,No sufficiently similar historical case was found.,"This issue may require additional investigation. Please provide the relevant account, device, or issue details so the support team can look into it.",False,True
93,<USER> Thank you for a response. We solved it out already. Thanks to your colleague!,OTHER,OTHER,0.26960069347462007,0.3146597307630075,RESOLVED,,CLARIFY,Historical similarity is moderate; additional information is needed.,I want to make sure I understand the issue correctly. Could you provide a little more detail about what is happening?,False,False
